-- Initial setup, no MISO

0.046121791666667,SPI,MOSI: '26' (0x1A);  MISO: '0' (0x00)
0.046160875000000,SPI,MOSI: '179' (0xB3);  MISO: '0' (0x00)
0.046206791666667,SPI,MOSI: '26' (0x1A);  MISO: '0' (0x00)
0.046245333333333,SPI,MOSI: ^ (0x5E);  MISO: '0' (0x00)


-- 0.7 ms gap, First apparent acks from the radio

0.046987833333333,SPI,MOSI: '6' (0x06);  MISO: '0' (0x00)
0.047025916666667,SPI,MOSI: 7 (0x37);  MISO: '0' (0x00)
0.047076000000000,SPI,MOSI: '129' (0x81);  MISO: '0' (0x00)
0.047155333333333,SPI,MOSI: '255' (0xFF);  MISO: '2' (0x02)
0.047239583333333,SPI,MOSI: '129' (0x81);  MISO: '0' (0x00)
0.047318916666667,SPI,MOSI: '255' (0xFF);  MISO: '2' (0x02)
0.047403166666667,SPI,MOSI: '129' (0x81);  MISO: '0' (0x00)
0.047482500000000,SPI,MOSI: '255' (0xFF);  MISO: '2' (0x02)
0.047566750000000,SPI,MOSI: '129' (0x81);  MISO: '0' (0x00)
0.047646083333333,SPI,MOSI: '255' (0xFF);  MISO: '3' (0x03)
0.047729125000000,SPI,MOSI: '11' (0x0B);  MISO: '0' (0x00)
0.047767666666667,SPI,MOSI: '29' (0x1D);  MISO: '0' (0x00)
0.047813583333333,SPI,MOSI: '22' (0x16);  MISO: '0' (0x00)
0.047852166666667,SPI,MOSI: '16' (0x10);  MISO: '0' (0x00)
0.047896583333333,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.047934208333333,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.047981583333333,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
0.048019666666667,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.048068958333333,SPI,MOSI: '7' (0x07);  MISO: '0' (0x00)
0.048107541666667,SPI,MOSI: '26' (0x1A);  MISO: '0' (0x00)
0.048153708333333,SPI,MOSI: '14' (0x0E);  MISO: '0' (0x00)
0.048192291666667,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.048238166666667,SPI,MOSI: '15' (0x0F);  MISO: '0' (0x00)
0.048277250000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.048321208333333,SPI,MOSI: '16' (0x10);  MISO: '0' (0x00)
0.048358791666667,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.048404708333333,SPI,MOSI: '17' (0x11);  MISO: '0' (0x00)
0.048442791666667,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.048488708333333,SPI,MOSI: '18' (0x12);  MISO: '0' (0x00)
0.048526791666667,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.048570708333333,SPI,MOSI: '19' (0x13);  MISO: '0' (0x00)
0.048609291666667,SPI,MOSI: Z (0x5A);  MISO: '0' (0x00)
0.048655208333333,SPI,MOSI: '4' (0x04);  MISO: '0' (0x00)
0.048692791666667,SPI,MOSI: '2' (0x02);  MISO: '0' (0x00)
0.048737250000000,SPI,MOSI: '2' (0x02);  MISO: '0' (0x00)
0.048775333333333,SPI,MOSI: '128' (0x80);  MISO: '0' (0x00)
0.048819291666667,SPI,MOSI: '3' (0x03);  MISO: '0' (0x00)
0.048857375000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.048901333333333,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.048938916666667,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.048986291666667,SPI,MOSI: '1' (0x01);  MISO: '0' (0x00)
0.049024375000000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)

-- 10 ms gap

0.059243916666667,SPI,MOSI: '4' (0x04);  MISO: '0' (0x00)
0.059281500000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.059325458333333,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.059363041666667,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.059410416666667,SPI,MOSI: '5' (0x05);  MISO: '0' (0x00)
0.059448500000000,SPI,MOSI: '2' (0x02);  MISO: '0' (0x00)

-- 50 ms gap
-- apparent repeat of initial setup

0.475181833333333,SPI,MOSI: '26' (0x1A);  MISO: '0' (0x00)
0.475251666666667,SPI,MOSI: '179' (0xB3);  MISO: '0' (0x00)
0.475331750000000,SPI,MOSI: '26' (0x1A);  MISO: '0' (0x00)
0.475401083333333,SPI,MOSI: ^ (0x5E);  MISO: '0' (0x00)


0.476213916666667,SPI,MOSI: '6' (0x06);  MISO: '0' (0x00)
0.476279333333333,SPI,MOSI: 7 (0x37);  MISO: '0' (0x00)
0.476370416666667,SPI,MOSI: '129' (0x81);  MISO: '0' (0x00)
0.476511291666667,SPI,MOSI: '255' (0xFF);  MISO: '2' (0x02)
